Time,Open,High,Low,Last,Change,%Chg,Volume,Difference
23-Jul-20,11135,11239.8,11103.15,11215.45,82.85,0.74%,0,0.02155366
24-Jul-20,11149.95,11225.4,11090.3,11194.15,-21.3,-0.19%,0,-0.58744658
27-Jul-20,11225,11225,11087.85,11131.8,-62.35,-0.56%,0,0.274832962
28-Jul-20,11154.1,11317.75,11151.4,11300.55,168.75,1.52%,0,0.199926484
29-Jul-20,11276.9,11341.4,11149.75,11202.85,-97.7,-0.86%,0,-0.209720757
30-Jul-20,11254.3,11299.95,11084.95,11102.15,-100.7,-0.90%,0,0.457158597
31-Jul-20,11139.5,11150.4,11026.65,11073.45,-28.7,-0.26%,0,0.335293326
03-Aug-20,11057.55,11058.05,10882.25,10891.6,-181.85,-1.64%,0,-0.143793155
04-Aug-20,10946.65,11112.25,10908.1,11095.25,203.65,1.87%,0,0.502893579
05-Aug-20,11155.75,11225.65,11064.05,11101.65,6.4,0.06%,0,0.542321224
06-Aug-20,11185.7,11256.8,11127.3,11200.15,98.5,0.89%,0,0.751405813
07-Aug-20,11186.65,11231.9,11142.05,11214.05,13.9,0.12%,0,-0.12067956
10-Aug-20,11270.25,11337.3,11238,11270.15,56.1,0.50%,0,0.498657971
11-Aug-20,11322.25,11373.6,11299.15,11322.5,52.35,0.46%,0,0.460155888
12-Aug-20,11289,11322,11242.65,11308.4,-14.1,-0.12%,0,-0.296749048
13-Aug-20,11334.85,11359.3,11269.95,11300.45,-7.95,-0.07%,0,0.233351125
14-Aug-20,11353.3,11366.25,11111.45,11178.4,-122.05,-1.08%,0,0.465503422
17-Aug-20,11248.9,11267.1,11144.5,11247.1,68.7,0.61%,0,0.626727947
18-Aug-20,11259.8,11401.7,11253.15,11385.35,138.25,1.23%,0,0.112790636
19-Aug-20,11452.15,11460.35,11394.1,11408.4,23.05,0.20%,0,0.583296586
20-Aug-20,11317.45,11361.45,11289.8,11312.2,-96.2,-0.84%,0,-0.803626259
21-Aug-20,11409.65,11418.5,11362.2,11371.6,59.4,0.53%,0,0.854101572
24-Aug-20,11412,11497.25,11410.65,11466.45,94.85,0.83%,0,0.354013319
25-Aug-20,11513.1,11525.9,11423.35,11472.25,5.8,0.05%,0,0.405190609
26-Aug-20,11512.85,11561.75,11461.85,11549.6,77.35,0.67%,0,0.352649431
27-Aug-20,11609.3,11617.35,11540.6,11559.25,9.65,0.08%,0,0.514242891
